performer_id,degree
A_60732,217
A_74379,217
A_99610,217
A_48159,217
A_32570,217
A_54896,217
A_41282,217
A_57849,217
A_77120,217
A_65087,217
A_97816,217
A_457707,217
A_88873,217
A_43160,217
A_96816,217
A_60883,217
A_42224,217
A_9565,216
A_114352,216
A_113946,216
A_99474,216
A_421231,216
A_34550,216
A_46295,216
A_39632,216
A_36678,216
A_34492,216
A_35619,216
A_67673,216
A_92497,216
A_105624,216
A_421875,216
A_46705,216
A_99446,216
A_91406,216
A_51618,216
A_54734,216
A_426025,215
A_59386,215
A_7360,215
A_48217,215
A_386989,215
A_98738,215
A_33292,215
A_47139,215
A_102826,215
A_35895,215
A_81428,215
A_53067,215
A_67034,215
A_99798,215
A_59457,215
A_67650,215
A_42768,214
A_111043,214
A_15708,214
A_64747,214
A_36092,214
A_103545,214
A_418405,214
A_96640,214
A_35977,214
A_67922,214
A_35845,214
A_67766,214
A_68086,214
A_88221,214
A_50544,214
A_381718,214
A_29917,214
A_55874,214
A_43173,214
A_78432,214
A_114318,214
A_103511,214
A_41447,214
A_47720,214
A_502354,214
A_72644,214
A_98078,214
A_41654,214
A_77204,214
A_34904,213
A_97103,213
A_36855,213
A_14313,213
A_68757,213
A_43974,213
A_77181,213
A_35259,213
A_423884,213
A_66955,213
A_47682,213
A_457720,213
A_87739,213
A_42537,213
A_43143,213
A_64442,213
A_57293,213
A_113278,213
A_53419,213
A_48164,213
A_76931,213
A_42135,212
A_94818,212
A_94059,212
A_69061,212
A_95428,212
A_29908,212
A_114622,212
A_55624,212
A_92149,212
A_81515,212
A_93924,212
A_71354,212
A_93491,212
A_543550,212
A_46694,212
A_54275,212
A_65201,212
A_103555,212
A_94296,212
A_78514,212
A_378221,212
A_113120,212
A_79882,211
A_45995,211
A_53058,211
A_66899,211
A_77035,211
A_6937,211
A_105739,211
A_112271,211
A_41864,211
A_47705,211
A_94821,211
A_48768,211
A_53994,211
A_65980,211
A_397543,211
A_34285,211
A_387116,211
A_113289,211
A_60845,211
A_445915,211
A_37344,211
A_98311,211
A_380298,211
A_99476,211
A_48507,211
A_94290,211
A_42356,210
A_31033,210
A_39799,210
A_115851,210
A_387022,210
A_113506,210
A_65124,210
A_55192,210
A_61534,210
A_50243,210
A_31662,210
A_59569,210
A_15232,210
A_5756,210
A_69837,210
A_23763,210
A_48110,209
A_70825,209
A_92360,209
A_56415,209
A_103593,209
A_113203,209
A_63328,209
A_473623,209
A_97820,209
A_45009,209
A_112172,209
A_42457,209
A_29487,209
A_84544,209
A_426041,209
A_102788,209
A_38146,209
A_390160,208
A_61555,208
A_60405,208
A_32203,208
A_44928,208
A_51338,208
A_35076,208
A_54096,208
A_393354,208
A_54927,208
A_56428,208
A_35365,208
A_68216,208
A_113500,208
A_96183,208
A_96363,208
A_422250,208
A_54806,208
A_410257,208
A_14237,208
A_94394,208
A_460867,208
A_29765,208
A_39532,208
A_59797,208
A_113790,208
A_450229,208
A_65935,207
A_78051,207
A_97316,207
A_31026,207
A_114119,207
A_99638,207
A_32871,207
A_65252,207
A_68348,207
A_422044,207
A_114082,207
A_36821,207
A_57999,207
A_96893,207
A_380045,206
A_114863,206
A_41648,206
A_90558,206
A_446418,206
A_75556,206
A_60713,206
A_53685,206
A_113466,206
A_50196,206
A_115400,206
A_67175,206
A_115907,206
A_36015,206
A_34673,206
A_51284,206
A_93127,206
A_44369,206
A_62573,206
A_68294,205
A_97815,205
A_67572,205
A_61439,205
A_67250,205
A_60286,205
A_50007,205
A_77764,205
A_37694,205
A_53586,205
A_53851,205
A_70828,205
A_51659,205
A_24054,205
A_99491,205
A_65365,205
A_59731,205
A_61013,205
A_114093,205
A_60043,205
A_54283,205
A_78431,205
A_33771,205
A_43897,204
A_95864,204
A_71899,204
A_77070,204
A_33248,204
A_1482,204
A_41227,204
A_397561,204
A_41032,204
A_33058,204
A_44819,204
A_76586,204
A_55572,204
A_55416,204
A_95451,204
A_33071,204
A_115124,204
A_47096,204
A_60735,204
A_113870,204
A_30608,204
A_93841,204
A_115918,204
A_53130,204
A_15454,204
A_68291,204
A_425989,204
A_8025,204
A_424727,204
A_5829,203
A_64847,203
A_90133,203
A_74051,203
A_43943,203
A_114702,203
A_421483,203
A_56341,203
A_38808,203
A_81527,203
A_54033,203
A_78574,203
A_68816,203
A_29882,203
A_114143,203
A_34889,203
A_65892,203
A_51415,203
A_37508,203
