source,target,weight,layout_weight
A_94631,A_94630,3,1.3862943611198906
A_94631,A_67666,3,1.3862943611198906
A_94631,A_97201,3,1.3862943611198906
A_94631,A_102865,2,1.0986122886681098
A_94631,A_38555,3,1.3862943611198906
A_94631,A_97206,4,1.6094379124341003
A_94631,A_94633,2,1.0986122886681098
A_94631,A_94632,3,1.3862943611198906
A_94631,A_64239,2,1.0986122886681098
A_94631,A_97197,3,1.3862943611198906
A_94631,A_94634,2,1.0986122886681098
A_94631,A_94637,5,1.791759469228055
A_94631,A_43844,3,1.3862943611198906
A_94631,A_40135,3,1.3862943611198906
A_95263,A_96947,2,1.0986122886681098
A_95263,A_77067,2,1.0986122886681098
A_95263,A_96801,2,1.0986122886681098
A_95263,A_77058,2,1.0986122886681098
A_56473,A_14040,2,1.0986122886681098
A_56473,A_415855,2,1.0986122886681098
A_56473,A_30909,2,1.0986122886681098
A_56473,A_384739,2,1.0986122886681098
A_472326,A_111888,2,1.0986122886681098
A_472326,A_461856,3,1.3862943611198906
A_472326,A_48248,3,1.3862943611198906
A_472326,A_103402,2,1.0986122886681098
A_472326,A_472329,2,1.0986122886681098
A_472326,A_472330,2,1.0986122886681098
A_472326,A_472320,2,1.0986122886681098
A_472326,A_472331,2,1.0986122886681098
A_472326,A_49715,2,1.0986122886681098
A_472326,A_472321,2,1.0986122886681098
A_472326,A_105378,2,1.0986122886681098
A_472326,A_472327,2,1.0986122886681098
A_472326,A_472332,2,1.0986122886681098
A_472326,A_472323,2,1.0986122886681098
A_472326,A_14662,2,1.0986122886681098
A_76880,A_76879,2,1.0986122886681098
